source_id,ra,dec,radial_velocity,radial_velocity_error,phot_g_mean_mag,parallax,pmra,pmdec
4065375562891352576,273.4412853934182,-24.771939599211272,914.7007,11.379895,15.833311,-0.027907536533545378,-2.1369446303661372,-9.670384419967453
4144743981614157184,267.77056711656843,-17.19609128609515,866.2016,16.177277,15.014869,1.724607909508301,14.792465184933652,-33.77198244418392
347866482390401280,26.02028171440385,42.92464920943618,863.3304,4.9513464,14.973545,2.01722709883801,13.640681241341658,-9.116801824530722
204642173613784704,70.39892174034678,42.94401263592076,861.9742,10.58593,14.922861,0.3179126766905147,0.0832373794585168,0.523425243943473
866002472168006400,112.4020603267558,21.94045343320929,860.9684,21.250942,14.136758,0.5249507702885263,-2.355762353881773,-1.800247935208909
6723146611802180224,276.61627312431835,-41.44861866093739,859.6903,7.3817263,14.532723,0.9789844285624029,0.8386388589101175,-22.519912111271495
6758650598159881984,291.23149549239747,-29.633693318843772,858.081,9.503726,14.819295,0.16305654652835605,2.416816587399241,-3.5369121870720823
4184406767574660864,289.68058921844585,-14.513443764806295,855.0251,9.54149,15.098236,2.256067868475227,4.914757032738533,-6.32992359573158
5880198841182308864,228.8551612083502,-57.452868831650584,851.7904,8.743855,14.9232235,0.5218323891125543,-1.311223677161088,-2.3734433708730216
2189655180270174464,316.2637163836726,57.55021802646984,845.07104,12.675714,14.965155,0.25268167471235364,-2.562966760751552,-5.229802822618613
2232153503700854912,354.47670176856604,74.6560397795885,844.2314,8.921474,15.386142,2.7759000492715042,-5.868899133920998,9.200691368021936
4069281681039489280,270.71626264363283,-22.800975352176184,843.7095,6.086192,15.369789,0.28465176407558196,-0.963540074927723,-2.366417726837846
5605438135295580800,111.7030047336161,-30.566223245343515,842.88873,9.720893,14.405653,0.4968759911746726,-5.607249525394858,5.540379615625526
4061764938579810048,264.203486229371,-26.653041627798576,841.75885,13.482215,15.206138,0.5397567716601125,-0.725299793373674,-1.916446723758844
4103589295732554880,280.61487197762585,-14.39806344257201,839.79517,13.182414,15.475343,0.04405972200550429,-3.6781842215639875,-5.420526852927446
4056363995683723008,267.87862765710264,-30.23195057489657,838.39044,8.352311,15.7899685,-0.05426910098229098,-4.311105586582904,-7.775209427821231
3382032762712476288,103.3113595097948,26.12604343316604,835.55743,12.956804,14.529679,1.0054148729383856,1.685075266054959,0.2645331996891782
519285396044378880,25.630763803424106,66.73065743239835,834.127,12.718327,16.069086,0.22221259535565843,-2.894357747181326,0.28162457495735954
4255142920488569216,281.6849936965004,-4.723915321407393,834.00616,8.555783,15.558954,0.15699068050942888,-7.0879690217182025,-3.363406651318066
4055668180890116480,268.3057697012579,-31.646796915180342,832.585,9.543067,15.846484,0.10692537570078481,2.2768921331579213,-11.550582947312227
5347906982784060288,166.70633470926327,-52.445979194715065,832.4216,7.50787,14.917244,2.1491440013531196,-1.3853183019874522,-0.3999866230030279
1968809027064284416,319.79243268369817,41.627744976637054,832.3821,12.188035,14.956169,0.11512933040370874,-4.300604618163767,-4.361937441992133
5886169322443512960,235.02995525357753,-51.69243160933015,831.4244,12.843062,14.402039,0.9589846363533271,-7.2324770753626755,-6.500117036725936
