ra,dec,radial_velocity,radial_velocity_error,phot_g_mean_mag,parallax,pmra,pmdec
275.4300051341523,-27.162097996514365,-906.6071,7.732392,15.199676,0.12430433641824773,-3.4195359612431258,-6.489931203150567
94.63031223261366,-10.632227248225552,-885.2032,7.120261,15.237138,4.520102588209706,-1.6486698736842267,-0.1971523664224419
286.13948006161826,12.0431615518879,-878.91626,7.8022933,14.897272,0.783335824290454,-0.6784563757373283,0.7648214399559667
281.90365531215446,-5.0767822559196665,-877.84454,12.099504,15.591184,0.994219806143925,-2.216158120835281,-2.891394135929329
332.6366544371257,27.088659413173065,-872.55493,11.30563,14.948867,,,
121.6770300797143,21.12650542008284,-871.40405,13.431914,14.852939,1.0020618410086095,0.600820562000813,2.914811263251899
223.50837197461692,-61.95391247292645,-870.24866,9.397288,15.539252,-0.34697853800944983,-3.4542618577212876,-2.79906275134224
275.1607033992883,-17.986049065490484,-868.3561,6.8297224,14.973072,0.42802607489159167,-1.729455964737093,-1.8472151692824714
81.63379088038589,24.31181086906121,-865.7915,9.46254,15.179985,0.8001010180603059,-5.033458924623354,-7.207386777526891
180.0620534171223,-45.74897014619437,-865.0411,5.4992104,15.307138,5.916363112780168,-15.989060981963851,4.708122960814848
43.50802837496375,58.38339126701088,-864.9447,6.814593,15.6640835,7.652620204294183,-67.77243488517627,18.802238185157428
224.52152487795144,-67.54015492406683,-863.7759,12.445692,14.372684,1.2754120852621886,-18.72395758996529,-8.160654795437328
269.5401927992111,-32.09692734574207,-862.40173,12.864133,15.438626,0.06432787891941241,-0.49178573998653397,-0.05212235509215223
350.57185045717443,-68.55027994016724,-861.1135,12.7766695,15.006605,15.43461522141792,68.98733337717047,-45.61347239185105
96.55204723454581,45.36211976196805,-860.0437,9.844025,15.43347,4.399279490639426,-12.912363423737615,-30.751674762471133
21.761846693630808,11.17895086784563,-857.95135,22.126707,15.933811,,,
337.57180648914186,43.42815894884311,-855.52844,11.724812,14.645088,0.42900592985860464,-2.4043710019274585,-1.645499762628009
30.854706255579995,0.4048419200178346,-854.7091,3.8250768,15.548094,6.106663790921639,86.22191868364135,-10.822203555414164
83.19956410393294,-7.410392127829035,-853.3459,6.547986,15.681403,2.6535539024015655,1.3047180534591167,-3.195921334859129
167.1700319187709,-57.889960628552,-850.4398,11.499823,15.630003,0.08032489619962585,-6.630354574051127,1.8462811105192274
56.86290082285547,-13.486594416416354,-848.4956,7.9930778,15.645321,5.262748638502623,24.13143791723787,-6.362451129926287
262.5214330147003,-28.161351613153737,-848.24316,12.302872,15.819404,0.2585572124562384,-0.28677744001151917,-6.119615566306969
276.4202305558659,-20.452034048170653,-846.2834,6.8569746,14.900348,0.6648556411249781,4.504311979246044,3.466456087838367
226.75209673326034,-52.47327293956868,-841.6967,8.562382,14.586016,0.9237074066115961,-3.2735390818498087,-1.5497774394875408
100.57927658868206,-60.56219066607549,-838.1919,14.764504,16.066734,,,
